                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80606,                0.92819,                 1.0145,                0.63688,                0.43863,                0.47725,                0.30461,                 1.1881,                 2.2008,                 1.3112,             0.00036307,             0.00036307,             0.00036307
                     36,                0.82612,                0.91716,                 1.0277,                0.62007,                0.35964,                0.45299,                0.30889,                 1.1504,                 2.1659,                 1.2985,             0.00034108,             0.00034108,             0.00034108
                     37,                 0.7927,                0.88942,                 1.0067,                0.61563,                0.40511,                0.45637,                0.32744,                 1.1333,                 2.1447,                  1.299,             0.00031908,             0.00031908,             0.00031908
                     38,                0.80791,                0.86433,                 1.0009,                0.60104,                0.49878,                0.45604,                0.31836,                 1.1478,                 2.1165,                 1.3227,             0.00029708,             0.00029708,             0.00029708
                     39,                0.73675,                0.85468,                0.98837,                0.57908,                0.47745,                0.46365,                0.32795,                  1.159,                 2.1733,                 1.3447,             0.00027508,             0.00027508,             0.00027508
                     40,                0.74091,                0.82738,                0.98361,                0.58784,                   0.47,                0.46929,                0.33488,                  1.158,                 2.1858,                  1.344,             0.00025309,             0.00025309,             0.00025309
                     41,                0.75675,                0.84571,                0.97085,                0.59668,                0.43167,                0.44777,                0.33979,                 1.1621,                 2.1868,                 1.3459,             0.00023109,             0.00023109,             0.00023109
                     42,                0.74761,                0.86386,                0.97014,                0.66372,                0.40117,                0.45889,                0.34217,                 1.1423,                 2.1302,                 1.3173,             0.00020909,             0.00020909,             0.00020909
                     43,                0.72182,                0.89061,                0.99329,                0.63932,                0.41371,                 0.4545,                 0.3344,                 1.1457,                 2.0879,                 1.3159,             0.00018709,             0.00018709,             0.00018709
                     44,                0.71791,                0.79765,                0.96762,                0.67274,                0.43119,                 0.4718,                0.34135,                 1.1451,                 2.0493,                 1.3099,             0.00016509,             0.00016509,             0.00016509
                     45,                0.73759,                0.79164,                 1.0005,                0.69215,                0.43793,                0.46881,                0.34053,                  1.128,                 2.0337,                 1.3005,              0.0001431,              0.0001431,              0.0001431
                     46,                0.71013,                0.81429,                 0.9881,                0.70708,                0.43307,                0.47949,                0.34643,                 1.1245,                 1.9923,                 1.2843,              0.0001211,              0.0001211,              0.0001211
                     47,                0.73661,                0.77425,                0.97009,                0.71005,                0.43792,                0.48776,                0.35519,                 1.1207,                 1.9668,                 1.2678,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.68236,                0.74476,                0.95211,                0.71496,                0.44076,                0.49372,                0.36305,                 1.1179,                  1.958,                 1.2558,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 0.7258,                0.87167,                 1.0036,                0.70601,                0.50496,                0.50363,                0.37101,                 1.1171,                 1.9482,                 1.2536,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.69009,                0.74861,                 0.9757,                0.71099,                0.49993,                0.50252,                0.37494,                 1.1106,                 1.9359,                 1.2497,             3.3108e-05,             3.3108e-05,             3.3108e-05
